Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"	Population (historical estimates)	"Homicide rate per 100,000 population - Both sexes - All ages"	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score
Singapore	SGP	2011	81258.086	5281351	0.30295318	82	6.549302
Uruguay	URY	2015	22486.428	3402820	8.610512	77.5	6.545
Malta	MLT	2016	40319.73	467717	1.06905	83.1	6.527
Czechia	CZE	2014	34386.703	10517178	0.7701683	78.8	6.505
Spain	ESP	2020	35967.89	47363808	0.6291724	82.3	6.4907
France	FRA	2017	44577.066	64144092	1.106883	82.5	6.4893
Mexico	MEX	2017	20032.408	122839256	26.114616	74.1	6.4882
Malta	MLT	2015	39903.938	456585	0.8760815	83	6.488
Uruguay	URY	2014	22477.06	3391660	7.901732	77.4	6.485
Italy	ITA	2020	39065.28	59500576	0.47898695	82.4	6.4831
Colombia	COL	2015	14215.688	47119728	27.128765	76.3	6.481
Singapore	SGP	2021	106032.23	5941063	0.10099207	82.8	6.4802
France	FRA	2015	43345.785	63809768	1.5859641	82.2	6.478
Colombia	COL	2014	13938.231	46677944	28.585234	76	6.477
Romania	ROU	2021	30776.93	19328558	1.2623806	74.2	6.477
Spain	ESP	2021	37913.074	47486932	0.6106943	83	6.4763
Chile	CHL	2017	24546.912	18368582	4.240938	80.4	6.4762
Uruguay	URY	2021	22800.69	3426265	8.901836	75.4	6.4736
Italy	ITA	2021	41929.43	59240336	0.51147586	82.9	6.4667
Mexico	MEX	2019	20064.5	125085312	29.308798	74.2	6.465
Slovenia	SVN	2020	37098.12	2117648	0.51944596	80.4	6.4607
Kosovo	OWID_KOS	2021	11884.18	1662022	1.9855483	76.8	6.4551
Uruguay	URY	2016	22793.07	3413768	7.8212743	77.6	6.454
Panama	PAN	2016	29410.635	4026338	10.058772	77.7	6.452
Belize	BLZ	2011	8776.863	329546	37.628494	72.7	6.450644
Malta	MLT	2021	44658.72	526751	0.3796882	83.8	6.4469
Lithuania	LTU	2021	39305.613	2786652	2.5837471	73.7	6.4456
Chile	CHL	2018	25071.99	18701452	4.4114227	80.1	6.444
France	FRA	2016	43705.15	63989320	1.2173907	82.4	6.442
Uruguay	URY	2019	23256.598	3428412	11.492213	77.5	6.4401
Guatemala	GTM	2018	8469.115	16850176	28.895842	72.7	6.4362
Guatemala	GTM	2020	8390.223	17362716	18.960165	71.8	6.4345
Uruguay	URY	2020	21828.64	3429087	9.856853	78.4	6.4314
Panama	PAN	2017	30526.379	4096071	9.228374	77.8	6.43
Brazil	BRA	2017	14477.861	208504960	30.593037	74.8	6.4189
Cyprus	CYP	2011	37593.93	1145090	0.7859672	80	6.416459
Saudi Arabia	SAU	2019	44954.992	35827364	0.7954814	77.3	6.4065
Spain	ESP	2016	38476.79	46473320	0.6326211	83	6.403
Spain	ESP	2019	40760.31	47131372	0.7022923	83.5	6.4009
Guatemala	GTM	2019	8671.703	17106338	25.645466	73.1	6.3989
Slovakia	SVK	2021	31866.025	5447621	1.0096148	74.9	6.3907
Argentina	ARG	2017	23597.117	44054616	5.259381	76.8	6.388
Italy	ITA	2019	42739.05	59727936	0.53073996	83.6	6.3874
Guatemala	GTM	2017	8322.217	16578718	32.78298	72.6	6.3819
Uruguay	URY	2017	23106.998	3422205	8.269533	77.6	6.3788
Singapore	SGP	2019	98283.31	5866408	0.20455457	83.8	6.3771
Singapore	SGP	2020	94505.63	5909874	0.16920847	82.9	6.3765
Brazil	BRA	2019	14685.128	211782880	20.810465	75.3	6.3756
Qatar	QAT	2016	97783.12	2595175	0.46239817	80.4	6.375
Qatar	QAT	2015	101971.99	2414580	0.2484912	80.1	6.375
Saudi Arabia	SAU	2018	45840.84	35018132	0.6396686	77.2	6.3747
Qatar	QAT	2018	91461.62	2766743	0.36143726	80.9	6.3745
Qatar	QAT	2017	92177.59	2711764	0.44251794	80.7	6.3745
Kosovo	OWID_KOS	2020	10706.514	1670702	2.2146425	76.6	6.372
Slovenia	SVN	2019	39034.234	2112905	0.662596	81.6	6.3634
Spain	ESP	2015	37373.95	46431344	0.65042275	82.6	6.361
Czechia	CZE	2011	34002.19	10496379	0.8193302	77.8	6.35963
Colombia	COL	2016	14358.168	47625960	26.040422	76.5	6.357
Algeria	DZA	2015	11751.634	39543148	1.38077	75.6	6.355
Spain	ESP	2018	40255.254	46792044	0.61762637	83.1	6.3541
El Salvador	SLV	2019	9021.426	6280222	38.183395	72.6	6.3483
Singapore	SGP	2017	95310.336	5764489	0.19082357	83.2	6.3432
Estonia	EST	2021	38717.695	1328704	1.9567984	77.1	6.3408
Slovakia	SVK	2020	30867.973	5456681	1.154548	77	6.3309
Brazil	BRA	2020	14021.958	213196304	22.384066	74	6.3301
Spain	ESP	2014	35964.46	46464548	0.6951536	82.9	6.329
Kosovo	OWID_KOS	2019	11318.462	1686856	1.4227626	79	6.3252
Malaysia	MYS	2017	25935.143	31975812	1.1852711	75.5	6.3221
Panama	PAN	2018	31125.625	4165258	9.627263	77.9	6.3213
