Entity	Code	Year	"GDP per capita, PPP (constant 2017 international $)"	Population (historical estimates)	"Homicide rate per 100,000 population - Both sexes - All ages"	Life expectancy - Sex: all - Age: at birth - Variant: estimates	Cantril ladder score
Philippines	PHL	2019	8731.861	110380800	4.315968	71.9	6.006
Malaysia	MYS	2015	24151.26	31068834	1.6028925	75.1	6.005
El Salvador	SLV	2016	8450.251	6250513	84.40911	72	6.003
Hungary	HUN	2019	32649.143	9771799	0.65494615	76.5	6.0004
Italy	ITA	2017	41581.12	60004024	0.6266246	82.7	6.0004
Slovakia	SVK	2014	27342.627	5419572	1.328519	76.8	5.995
Guyana	GUY	2011	10394.143	744235	17.467718	67	5.992826
Nicaragua	NIC	2015	5563.004	6298610	8.319312	73	5.992
Hungary	HUN	2020	31231.596	9750571	0.8204647	75.7	5.9916
Japan	JPN	2014	39739.543	127476728	0.30986047	83.7	5.987
Uzbekistan	UZB	2015	6401.115	30949416	1.6349257	70.5	5.987
South Korea	KOR	2014	37967.477	50558044	0.7456776	82.4	5.984
Italy	ITA	2015	40247.83	60232908	0.77864414	82.5	5.977
Ecuador	ECU	2015	11908.216	16195904	6.4831214	76.8	5.976
Ecuador	ECU	2014	12073.811	15957995	8.209052	76.6	5.975
Argentina	ARG	2019	22071.748	44745516	5.155823	77.3	5.9747
Ecuador	ECU	2017	11679.431	16696947	5.8094463	77	5.9732
Poland	POL	2016	28497.104	38532108	0.6747619	77.8	5.973
Uzbekistan	UZB	2016	6663.9497	31453576	2.4067216	70.8	5.971
Argentina	ARG	2021	21527.195	45276788	4.6226788	75.4	5.967
Italy	ITA	2016	40837.74	60118628	0.6720047	83	5.964
Russia	RUS	2016	25490.709	145109152	10.93246	72.7	5.963
Bahrain	BHR	2014	49117.99	1311142	0.6864284	79.3	5.96
Malta	MLT	2011	32930.297	423577	0.7082638	81.1	5.959978
Belize	BLZ	2016	9208.114	367327	37.57019	73.4	5.956
Belize	BLZ	2015	9387.914	359884	33.067406	73.2	5.956
El Salvador	SLV	2011	7665.948	6137354	71.21968	71.9	5.955841
Belize	BLZ	2017	8873.754	374702	37.89764	73.6	5.9556
Honduras	HND	2019	5613.6606	9958832	40.94859	72.9	5.9532
Lithuania	LTU	2017	33761.87	2904452	3.4429927	75.4	5.9519
Latvia	LVA	2019	31038.68	1916552	3.391501	75.5	5.95
Greece	GRC	2021	29548.04	10445368	0.85205257	80.1	5.9482
Italy	ITA	2014	39898.527	60322792	0.7874304	82.9	5.948
Slovenia	SVN	2017	36507.555	2098396	0.90545523	81.1	5.9476
Romania	ROU	2017	26948.158	19698852	1.2944916	76	5.9452
Japan	JPN	2020	39935.465	125244760	0.25390282	84.7	5.9405
Latvia	LVA	2018	30051.402	1935632	4.339671	75	5.9397
South Korea	KOR	2021	44232.207	51830136	0.52093244	83.7	5.9351
Latvia	LVA	2017	28673.562	1954861	4.143514	74.8	5.9331
Argentina	ARG	2020	19685.217	45036032	5.3668137	75.9	5.9293
Portugal	PRT	2020	32011.324	10298186	0.7865459	81.1	5.929
Ecuador	ECU	2019	11390.217	17343742	6.843968	77.3	5.9252
Slovenia	SVN	2011	33568.066	2065457	0.7746485	80	5.922324
Japan	JPN	2015	40402.582	127250936	0.28526312	83.9	5.921
Japan	JPN	2016	40727.97	126993856	0.28505316	84.1	5.92
Honduras	HND	2020	5028.145	10121762	35.695362	71.5	5.9192
Kazakhstan	KAZ	2015	24290.418	17835908	4.782487	70.7	5.919
Japan	JPN	2017	41444.215	126662464	0.24158695	84.2	5.915
Portugal	PRT	2019	34945.66	10289921	0.70943195	81.7	5.9109
Lithuania	LTU	2016	31925.803	2933676	5.2153044	74.9	5.902
Uruguay	URY	2011	20275.441	3361631	5.919734	77	5.898252
Moldova	MDA	2015	10355.539	3277390	5.7667875	69.2	5.897
South Korea	KOR	2018	41965.89	51676900	0.5979461	83.3	5.8947
Estonia	EST	2018	34979.867	1322146	2.1177669	78.1	5.8935
Mauritius	MUS	2017	22148.625	1294743	2.5487733	74.9	5.8915
Jamaica	JAM	2019	10244.366	2813776	47.62289	71.8	5.8898
Jamaica	JAM	2018	10160.764	2811842	45.84195	71.8	5.8898
Jamaica	JAM	2017	9984.577	2808388	58.646004	71.9	5.8898
Moldova	MDA	2014	10311.288	3338338	4.822761	69	5.889
Mauritius	MUS	2018	23023.5	1295386	2.8563013	74.9	5.8882
Japan	JPN	2018	41739.203	126255872	0.26454216	84.3	5.8861
Croatia	HRV	2020	26950.719	4096872	0.97635525	78	5.8817
Paraguay	PRY	2014	12616.414	6090727	9.489845	72.9	5.878
South Korea	KOR	2017	40957.418	51511640	0.58433396	83.3	5.8749
South Korea	KOR	2019	42758.59	51803832	0.5733167	83.7	5.8724
Algeria	DZA	2016	11888.323	40339328	1.343602	75.7	5.872
Japan	JPN	2019	41697.41	125791680	0.2535939	84.4	5.8708
Honduras	HND	2018	5561.2627	9792854	37.874573	72.8	5.8604
Russia	RUS	2015	25488.096	144668384	11.506314	72.1	5.856
Kazakhstan	KAZ	2014	24355.756	17592296	5.1386127	70.3	5.855
Latvia	LVA	2016	27509.336	1973477	3.496369	74.8	5.85
Jamaica	JAM	2021	9596.564	2827701	52.127274	70.5	5.8496
Slovenia	SVN	2014	33093.75	2074923	0.7711152	80.9	5.848
South Korea	KOR	2020	42396.76	51844688	0.59408206	83.6	5.8455
Peru	PER	2020	11176.919	33304768	5.7138987	73.7	5.8396
Moldova	MDA	2016	10938.585	3225125	6.201314	69.9	5.838
South Korea	KOR	2016	39814.66	51309984	0.6938221	82.9	5.838
Poland	POL	2015	27667.69	38553148	0.772959	77.4	5.835
South Korea	KOR	2015	38828.742	50994396	0.73537487	82.6	5.835
Lithuania	LTU	2014	29855.832	2994928	5.3089767	74.8	5.833
Nicaragua	NIC	2014	5385.4985	6208680	8.45591	72.8	5.828
Romania	ROU	2016	24763.135	19797820	1.5456247	75.2	5.825
Peru	PER	2014	11773.944	30353956	6.8393073	75.3	5.824
Malaysia	MYS	2011	20900.322	29184140	1.8160553	74.7	5.823207
Bolivia	BOL	2016	8034.173	11263016	5.7000723	67.6	5.823
Bolivia	BOL	2015	7825.7666	11090090	4.896265	67.3	5.822
Bosnia and Herzegovina	BIH	2020	14358.987	3318410	1.2958022	76.2	5.8131
Belarus	BLR	2014	19119.346	9693741	3.5074184	73.6	5.813
Lithuania	LTU	2015	30748.197	2963764	5.80343	74.6	5.813
Russia	RUS	2017	25926.443	145452544	9.139064	73.4	5.8097
Thailand	THA	2011	14199.279	68712848	4.812783	76.4	5.80368
Poland	POL	2011	24874.172	38620848	1.0926741	76.7	5.803043
Belarus	BLR	2015	18362.746	9700609	3.3606138	74	5.802
Peru	PER	2019	12735.168	32824864	7.2658343	76.2	5.7968
Poland	POL	2014	26488.201	38581880	0.74387264	77.6	5.791
Kazakhstan	KAZ	2017	24862.967	18314822	4.995956	71.4	5.7901
Colombia	COL	2021	14648.592	51516560	27.484365	72.8	5.7806
Bolivia	BOL	2018	8466.293	11606906	4.945332	67.7	5.7793
Serbia	SRB	2019	18310.08	7401056	1.1890196	76.7	5.7782
Malaysia	MYS	2014	23328.344	30606454	1.666315	75.1	5.77
Bosnia and Herzegovina	BIH	2021	15666.54	3270948	0.9783111	75.3	5.768
Slovenia	SVN	2015	33799.727	2080865	0.96114016	80.8	5.768
Moldova	MDA	2020	12201.778	3084848	3.0147362	70.2	5.7664
Ecuador	ECU	2020	10356.975	17588596	7.800509	72.2	5.764
Cyprus	CYP	2017	38421.97	1208527	0.5792194	81.3	5.7625
Mongolia	MNG	2021	11668.431	3347782	6.153327	71	5.7607
Croatia	HRV	2014	24118.531	4283968	0.8403416	78	5.759
Hungary	HUN	2018	31122.502	9776361	0.87967324	76.2	5.7583
Slovenia	SVN	2016	34853.043	2090020	0.47846434	81.2	5.758
Bolivia	BOL	2017	8244.934	11435535	6.5322704	67.7	5.7519
Bolivia	BOL	2019	8528.749	11777318	4.2199774	67.8	5.7475
Peru	PER	2015	12015.1875	30711864	7.316391	75.6	5.743
Paraguay	PRY	2018	13848.499	6443337	7.713405	73.6	5.7427
Estonia	EST	2017	33821.934	1317550	2.2010574	78	5.7392
Dominican Republic	DOM	2021	18626.078	11117873	10.541584	72.6	5.7372
Greece	GRC	2020	27103.541	10512232	0.7419928	80.9	5.7226
Russia	RUS	2014	26057.156	144285072	11.446784	71.6	5.716
Bolivia	BOL	2020	7679.933	11936169	3.4935853	64.5	5.7159
Peru	PER	2016	12321.318	31132776	7.8213387	75.8	5.715
Malaysia	MYS	2021	26333.156	33573872	0.72377706	74.9	5.7113
Jamaica	JAM	2014	9745.554	2784542	36.0921	73	5.709
Jordan	JOR	2011	11885.238	7109980	1.9831281	74.2	5.706185
Peru	PER	2018	12696.236	32203946	7.613974	76	5.6971
Pakistan	PAK	2019	5157.5464	223293280	3.6512518	66.8	5.6933
Portugal	PRT	2018	34040.727	10289833	0.78718466	81.4	5.6925
Paraguay	PRY	2019	13609.723	6530029	8.483886	73.6	5.6921
Dominican Republic	DOM	2019	18171.06	10881886	9.428515	73.6	5.6892
Cyprus	CYP	2014	33241.19	1176997	0.9345834	80.8	5.689
Paraguay	PRY	2017	13604.175	6355406	8.512441	73.6	5.6806
Mongolia	MNG	2020	11666.779	3294340	6.2228036	72.1	5.6772
Bosnia and Herzegovina	BIH	2019	14634.738	3360718	1.2497354	77.2	5.6741
Peru	PER	2017	12442.746	31605488	7.868887	75.9	5.6632
Kosovo	OWID_KOS	2017	10436.169	1731670	2.771898	78.8	5.6621
Turkmenistan	TKM	2015	12540.284	5766427	1.0925301	68.8	5.658
Slovakia	SVK	2011	26210.758	5402686	1.7768961	76	5.656836
Pakistan	PAK	2018	5113.434	219731488	3.7504869	66.5	5.653
Paraguay	PRY	2020	13317.321	6618700	7.2672935	73.2	5.6526
Mauritius	MUS	2015	20549.629	1293159	1.6239377	75	5.648
Russia	RUS	2018	26656.41	145652288	8.214083	73.5	5.6479
South Korea	KOR	2011	35388.977	49169880	0.8196075	81.2	5.643442
Moldova	MDA	2017	11651.187	3180515	4.4332566	70.5	5.6397
Philippines	PHL	2018	8365.732	108568832	5.204993	71.7	5.6314
Mauritius	MUS	2016	21328.688	1293909	1.6229864	75	5.629
Croatia	HRV	2011	24654.197	4351838	1.1259601	77.2	5.622628
Cyprus	CYP	2016	36678.098	1197889	1.0852493	81.1	5.621
Hungary	HUN	2017	29501.121	9788940	1.6344975	76	5.62
Estonia	EST	2016	32008.934	1315928	2.5077407	77.8	5.611
Moldova	MDA	2019	13030.183	3109496	3.8913121	70.9	5.6075
Algeria	DZA	2014	11561.26	38760168	1.4886416	75.1	5.605
Serbia	SRB	2018	17455.945	7433825	1.4124639	76.5	5.603
Bolivia	BOL	2021	8052.1772	12079474	3.4935303	63.6	5.6003
Kazakhstan	KAZ	2011	21970.084	16864920	8.419846	68.7	5.594488
Kosovo	OWID_KOS	2014	8796.63	1777812	3.0936956	78.9	5.589
Lithuania	LTU	2011	25968.584	3099800	6.806896	73.9	5.588069
Montenegro	MNE	2020	18262.236	629058	2.861469	76.3	5.5805
Paraguay	PRY	2021	13687.655	6703802	7.8313804	70.3	5.5783
Belarus	BLR	2016	17883.127	9708111	3.1623044	74.3	5.569
Bahrain	BHR	2011	46564.71	1212086	0.99003613	78.9	5.567952
Belarus	BLR	2011	18274.021	9706983	3.842595	71.5	5.566307
Honduras	HND	2011	4874.8735	8622510	82.38905	71.4	5.564011
Latvia	LVA	2015	26628.355	1991951	3.3635306	74.7	5.56
Turkmenistan	TKM	2014	11989.653	5663159	1.571563	68.6	5.548
Montenegro	MNE	2021	20602.5	627856	2.3890734	76.3	5.5468
Montenegro	MNE	2019	21537.809	630403	3.6485002	77	5.5461
Cyprus	CYP	2015	34573.973	1187286	1.263392	81	5.546
Russia	RUS	2019	27254.574	145742288	7.68617	73.9	5.546
Dominican Republic	DOM	2020	16768.426	10999668	8.73663	72.9	5.5451
Belarus	BLR	2019	19279.209	9673971	2.3258288	74.2	5.5399
Paraguay	PRY	2015	12806.097	6177954	9.987132	73.2	5.538
Ecuador	ECU	2021	10668.758	17797736	14.024255	73.7	5.5333
Moldova	MDA	2018	12367.764	3141839	5.283533	70.5	5.5285
Romania	ROU	2015	23937.46	19906078	1.7029973	74.8	5.528
Philippines	PHL	2017	8001.7563	106738496	7.746033	71.5	5.5241
Montenegro	MNE	2018	20690.285	631459	2.2171035	77.2	5.5229
Estonia	EST	2015	31038.805	1314658	3.4229474	77.7	5.517
Greece	GRC	2019	29721.586	10574026	0.7376567	81.2	5.515
Hong Kong	HKG	2019	59588.52	7496121	0.32016557	85.3	5.5104
Jamaica	JAM	2015	9800.507	2794455	43.264412	72.4	5.51
Croatia	HRV	2019	29352.79	4129749	0.79907954	78.7	5.5047
Honduras	HND	2017	5447.6987	9626845	40.13777	72.7	5.504
Turkey	TUR	2016	25996.967	81019400	3.3374724	76.7	5.5
Paraguay	PRY	2016	13163.74	6266623	10.675619	73.5	5.493
Croatia	HRV	2015	24931.486	4254821	0.86960304	77.6	5.488
Belarus	BLR	2017	18356.102	9707874	2.4722195	74.5	5.4833
Turkey	TUR	2017	27582.832	82089824	3.0953896	77.1	5.4825
Russia	RUS	2020	26583.797	145617328	7.3459663	71.3	5.4772
Mauritius	MUS	2011	17988.684	1286239	2.4878802	74.2	5.477073
Mauritius	MUS	2014	19844.488	1292112	1.4704591	74.9	5.477
Hong Kong	HKG	2020	55888.688	7500955	0.2932959	85.2	5.4767
Hong Kong	HKG	2014	56358.043	7352180	0.36723787	84.1	5.474
Pakistan	PAK	2017	4891.7197	216379648	3.8058107	66.3	5.4725
Hong Kong	HKG	2016	58098.395	7435925	0.37655023	84.5	5.472
Tajikistan	TJK	2020	3651.9421	9543211	0.9116432	68	5.4662
Russia	RUS	2021	27960.102	145102752	6.7993197	69.4	5.4586
Hong Kong	HKG	2015	57214.69	7399845	0.2973038	84.3	5.458
Mongolia	MNG	2019	12458.019	3232435	6.341979	71.8	5.4562
Croatia	HRV	2018	28225.002	4160488	0.57685584	78.3	5.4318
Hong Kong	HKG	2018	61055.34	7481563	0.64157784	85.2	5.4304
Hong Kong	HKG	2017	59842.215	7461508	0.32165036	84.9	5.4304
Philippines	PHL	2016	7616.05	104875272	10.636445	71.4	5.43
Estonia	EST	2014	30494.096	1314531	3.118995	77.1	5.429
Dominican Republic	DOM	2018	17484.121	10765532	9.920551	73.2	5.4253
Vietnam	VNM	2011	6658.667	88349104	1.5370839	73.7	5.425293
Ecuador	ECU	2011	10988.722	15237734	15.376308	75.7	5.424841
Hong Kong	HKG	2021	59978.15	7494580	0.30688852	85.5	5.4248
Hong Kong	HKG	2011	53471.797	7175370	0.23692176	83.2	5.423889
Kosovo	OWID_KOS	2011	8040.5938	1799340	3.4457116	77.7	5.420175
Cuba	CUB	2011		11298713	4.726203	77.8	5.417868
Portugal	PRT	2017	33044.715	10307528	0.7373251	81.5	5.4104
Kosovo	OWID_KOS	2015	9445.105	1759122	2.3875546	78.9	5.401
Armenia	ARM	2021	14193.117	2790971	2.1856172	72	5.3986
Paraguay	PRY	2011	11613.169	5843938	11.242418	72.1	5.398257
Serbia	SRB	2017	16614.014	7464882	1.1520613	76.2	5.3982
Serbia	SRB	2016	16185.742	7493288	1.5480521	76.3	5.395
Turkey	TUR	2015	25594.66	79646176	2.806161	76.6	5.389
Bosnia and Herzegovina	BIH	2018	14066.845	3400132	1.1470153	77.1	5.3865
Malaysia	MYS	2020	25830.973	33199988	0.76204836	75.9	5.3843
Malaysia	MYS	2019	27674.402	32804024	0.94500613	75.8	5.3843
Turkey	TUR	2018	28157.979	82809304	2.60961	77.6	5.3726
Bulgaria	BGR	2021	24398.13	6885864	1.2779799	71.8	5.3709
Algeria	DZA	2011	11113.969	36543548	0.76620924	74.1	5.367827
Greece	GRC	2017	28604.861	10692230	0.8043225	80.9	5.3579
Montenegro	MNE	2017	19685.809	632445	2.371774	76.9	5.3475
China	CHN	2020	16296.779	1424929792	0.50227034	78.1	5.3391
Malaysia	MYS	2018	26835.81	32399270	0.996936	75.6	5.3388
Jordan	JOR	2016	9633.101	9964659	1.3146466	75.2	5.336
Estonia	EST	2011	27990.137	1327435	4.8966837	76.5	5.329978
Portugal	PRT	2011	31304.816	10564820	1.0790523	80.5	5.327314
Hungary	HUN	2016	28217.354	9815106	2.0580525	76.2	5.324
Belarus	BLR	2018	18974.7	9695573	2.3309605	74.6	5.3225
Myanmar	MMR	2011	3018.4617	49794528	2.118707	63.9	5.321977
Croatia	HRV	2017	27211.824	4192468	1.0972061	78.1	5.3212
Jamaica	JAM	2016	9906.04	2802699	48.310635	72	5.311
Moldova	MDA	2011	9050.126	3595135	6.0081334	69.2	5.3054
Jordan	JOR	2015	9912.713	9494250	1.5904369	75	5.303
Dominican Republic	DOM	2017	16524.533	10647247	11.420795	73.1	5.3018
Algeria	DZA	2017	11809.483	41136548	1.2738065	75.7	5.2946
Croatia	HRV	2016	25999.834	4223748	1.041728	78.2	5.293
Azerbaijan	AZE	2015	14852.611	9863485	2.1392045	71.5	5.291
Greece	GRC	2018	29141.174	10633275	0.93104	81.4	5.2867
Mongolia	MNG	2018	12052.294	3163994	6.194708	71.2	5.2854
Russia	RUS	2011	24972.078	143364544	11.282427	70.4	5.284313
Armenia	ARM	2020	13357.697	2805610	1.8534304	72.2	5.2826
Kosovo	OWID_KOS	2016	10031.044	1750724	2.1705317	79	5.279
North Macedonia	MKD	2018	16148.459	2113497	1.1828771	77.3	5.2736
China	CHN	2016	13399.138	1401889664	0.615883	77.2	5.273
Pakistan	PAK	2016	4746.718	213524848	3.9882948	65.9	5.269
Bulgaria	BGR	2020	22483.598	6979181	0.9886556	73.6	5.2655
Peru	PER	2011	10539.982	29477722	5.4854984	74.1	5.25838
Morocco	MAR	2017	7921.619	35528116	2.1419656	73.7	5.2537
Venezuela	VEN	2016		30741464	56.623848	72.1	5.25
China	CHN	2017	14243.532	1410275968	0.5665558	77.2	5.2458
China	CHN	2015	12612.352	1393715456	0.66010606	77	5.245
Montenegro	MNE	2016	18801.268	633264	4.4215403	76.7	5.237
Morocco	MAR	2016	7632.1855	35107272	1.6919576	73.3	5.235
Azerbaijan	AZE	2016	14232.192	9976254	1.6940236	72	5.234
Turkey	TUR	2011	21716.266	74173856	4.126791	74.9	5.233999
Dominican Republic	DOM	2016	15967.202	10527589	15.35014	73	5.23
Greece	GRC	2016	28239.92	10749742	0.7814141	81.2	5.227
Lebanon	LBN	2016	17248.19	6258628	3.7548215	79.5	5.225
Azerbaijan	AZE	2014	14867.943	9741879	2.4225302	71.1	5.212
Algeria	DZA	2018	11725.878	41927008	1.3547354	76.1	5.2113
Morocco	MAR	2018	8072.0864	35927516	1.419525	74	5.2081
Azerbaijan	AZE	2018	14209.593	10152524	1.9404047	72.8	5.2077
Azerbaijan	AZE	2017	14121.407	10071569	1.8070674	72.2	5.2006
Lebanon	LBN	2017	17808.076	6109255	4.02668	79.7	5.1989
Albania	ALB	2021	14518.906	2854710	2.3119686	76.5	5.1988
Maldives	MDV	2019	20574.404	504518	0.59463876	80.1	5.1976
Lebanon	LBN	2018	17970.94	5950842	2.8903487	79.7	5.1973
Bhutan	BTN	2015	9877.247	743284	1.6144786	70.3	5.196
Portugal	PRT	2016	31847.537	10332751	0.63874555	81.2	5.195
Pakistan	PAK	2014	4403.673	208251632	6.37498	65.3	5.194
South Africa	ZAF	2021	13311.926	59392256	41.865726	62.3	5.1939
Jordan	JOR	2014	10605.35	8658030	1.9634961	74.8	5.192
Montenegro	MNE	2014	17677.787	634301	3.1531096	76.7	5.192
China	CHN	2018	15133.996	1417069440	0.53102547	77.7	5.1909
North Macedonia	MKD	2017	15709.287	2111982	1.467818	76.5	5.1848
Bosnia and Herzegovina	BIH	2016	12837.599	3480985	1.2927371	76.8	5.182
Honduras	HND	2016	5287.253	9460798	54.435158	72.6	5.181
Romania	ROU	2011	21446.771	20220286	1.0138334	74.4	5.178499
Serbia	SRB	2015	15581.014	7519501	1.3298764	75.8	5.177
North Macedonia	MKD	2016	15556.255	2110194	0.90039027	76	5.175
Azerbaijan	AZE	2021	14431.661	10312992	1.9102119	69.4	5.1734
Azerbaijan	AZE	2020	13726.77	10284952	2.236277	66.9	5.1708
Azerbaijan	AZE	2019	14442.041	10232761	1.6417869	73.1	5.1648
Bosnia and Herzegovina	BIH	2015	12292.545	3524328	1.6173314	76.2	5.163
Montenegro	MNE	2015	18266.879	633969	2.6815298	76.8	5.161
Jordan	JOR	2017	9629.103	10215384	1.3019582	75.5	5.1607
North Macedonia	MKD	2019	16776.076	2114175	1.1351941	77.3	5.1598
Morocco	MAR	2015	7687.691	34680456	1.2427748	72.9	5.151
Pakistan	PAK	2011	4082.4495	198602736	6.978756	64.6	5.1487
Ghana	GHA	2019	5345.9414	31522294	1.8114166	64.7	5.148
Montenegro	MNE	2011	17290.512	631801	3.3238997	76.1	5.146845
Hungary	HUN	2015	27528.307	9844250	2.2449663	75.7	5.145
Cameroon	CMR	2020	3665.5105	26491090	4.5373755	60.8	5.1418
China	CHN	2014	11851.404	1385189632	0.72791475	76.7	5.14
Nepal	NPL	2019	3922.0813	28832500	2.2856154	69.6	5.1372
Albania	ALB	2011	11054.788	2900660	4.8954477	78.1	5.133704
Pakistan	PAK	2015	4552.6055	210969296	4.496389	65.7	5.132
Turkey	TUR	2019	28150.059	83481688	2.4196925	77.8	5.1318
Bosnia and Herzegovina	BIH	2017	13402.434	3440025	1.2209207	76.9	5.1294
Lebanon	LBN	2015	16611.72	6398941	3.6099732	79.2	5.129
Zambia	ZMB	2014	3375.9412	15737796	5.242158	60.7	5.129
Mongolia	MNG	2017	11431.498	3096033	6.169192	70.2	5.1246
Romania	ROU	2014	23095.28	19995836	1.6253384	74.9	5.124
China	CHN	2019	15977.764	1421864064	0.5189666	78	5.1239
Portugal	PRT	2015	31118.791	10365436	0.9647448	81.2	5.123
Serbia	SRB	2014	15229.067	7543965	1.5641652	75.7	5.123
Algeria	DZA	2021	11039.806	44177964	1.5731823	76.4	5.1223
North Macedonia	MKD	2015	15141.992	2107965	1.1859796	76	5.121
Albania	ALB	2020	13256.125	2866850	2.127772	77	5.1174
Nicaragua	NIC	2011	4805.4023	5942554	12.418905	72.4	5.114866
Portugal	PRT	2014	30444.6	10408379	0.88390386	81.2	5.102
Bulgaria	BGR	2019	23270.225	7052536	1.1768823	75.1	5.1015
South Africa	ZAF	2011	13721.686	52443320	29.658684	60.7	5.10052
Latvia	LVA	2014	25423.488	2011040	3.1824346	74.4	5.098
Morocco	MAR	2019	8217.599	36304408	1.7270631	74.3	5.0948
Ghana	GHA	2020	5263.5264	32180402	1.7246522	64.1	5.0884
Ukraine	UKR	2021	12943.614	43531424	3.843201	71.6	5.0841
Bhutan	BTN	2018	11233.78	762104	1.1809528	71.1	5.0821
Bhutan	BTN	2017	10986.888	756130	1.7193004	70.8	5.0821
Nigeria	NGA	2016	5209.074	188666928	33.604195	52	5.074
Morocco	MAR	2021	8058.397	37076588	1.9311379	74	5.0599
Venezuela	VEN	2019		28971686	40.984848	72.2	5.0532
Lebanon	LBN	2011	19216.969	5045061	3.3299925	78.4	5.049216
Dominican Republic	DOM	2011	12905.289	9903743	25.37426	72.2	5.036006
Greece	GRC	2015	28260.387	10806644	0.86058193	80.7	5.033
Morocco	MAR	2014	7462.153	34248608	1.0365386	72.5	5.013
Bhutan	BTN	2016	10587.57	749764	1.2003818	70.6	5.011
Bulgaria	BGR	2018	22210.123	7117424	1.2926013	74.9	5.011
North Macedonia	MKD	2014	14599.242	2105293	1.662478	75.9	5.007
Algeria	DZA	2019	11627.28	42705372	1.2153039	76.5	5.0051
Ghana	GHA	2018	5125.2495	30870648	1.6196619	64.1	4.9963
Cameroon	CMR	2017	3691.0947	24393182	4.1159043	60.8	4.9753
India	IND	2011	4374.2324	1257621248	3.788104	67.4	4.974501
Nepal	NPL	2016	3244.6743	27861186	2.1463552	68.8	4.962
Albania	ALB	2014	11588.925	2884100	4.64616	78.4	4.959
South Africa	ZAF	2020	12815.909	58801928	33.964874	65.3	4.9564
Mongolia	MNG	2016	11058.95	3029559	6.0735	69.9	4.955
Bosnia and Herzegovina	BIH	2014	11768.1045	3571070	1.4001416	75.7	4.949
Turkey	TUR	2020	28473.205	84135432	2.5054843	75.8	4.9476
Hungary	HUN	2011	25005.287	9953247	1.4568114	74.9	4.942787
Pakistan	PAK	2020	5004.352	227196736	3.7368493	66.3	4.934
Bulgaria	BGR	2017	21473.805	7182430	1.4340553	74.8	4.9331
Venezuela	VEN	2021		28199862	19.305056	70.6	4.9255
Morocco	MAR	2020	7545.995	36688768	1.2483383	73.9	4.918
Nepal	NPL	2018	3719.3079	28506718	2.2100058	69	4.9127
Mongolia	MNG	2015	11134.802	2964756	7.21815	69.5	4.907
Jordan	JOR	2018	9584.507	10459864	0.8986731	75.8	4.9057
Venezuela	VEN	2020		28490458	29.4274	71.1	4.8922
Algeria	DZA	2020	10844.7705	43451668	1.5051206	74.5	4.8871
Namibia	NAM	2011	9431.044	2132343	14.444222	56.6	4.885587
Dominican Republic	DOM	2014	14334.733	10282116	17.603382	72.9	4.885
Albania	ALB	2019	13655.665	2873883	2.2617478	79.3	4.8827
Iraq	IRQ	2011	8493.082	32378066	8.1351385	67.7	4.881612
Nepal	NPL	2017	3495.5288	28183424	2.18923	68.9	4.8804
Ukraine	UKR	2020	12407.79	43909664	3.8670301	72.6	4.8748
Mongolia	MNG	2014	11107.989	2902826	7.337686	69	4.874
Ghana	GHA	2021	5435.238	32833036	1.8365651	63.8	4.872
Honduras	HND	2015	5180.1865	9294510	55.38756	72.5	4.871
Eswatini	SWZ	2014	7969.2075	1125872	10.48083	53	4.867
Bosnia and Herzegovina	BIH	2011	10934.089	3743143	1.362492	77	4.857435
Greece	GRC	2014	28129.96	10862972	0.9849978	81	4.857
Egypt	EGY	2011	9762.974	89200056	3.0302672	69.9	4.8534
Lebanon	LBN	2014	16863.637	6274345	3.825102	79	4.839
South Africa	ZAF	2016	13844.276	56422272	33.703003	64.7	4.829
Philippines	PHL	2011	5995.431	96337912	8.811692	70.8	4.825137
South Africa	ZAF	2019	13852.206	58087060	36.71214	66.2	4.8141
Bangladesh	BGD	2011	3571.0586	150211008	2.640286	68.8	4.807098
Venezuela	VEN	2017		30563430	47.982174	71.9	4.8056
Hungary	HUN	2014	26481.166	9867906	1.4795446	75.8	4.8
Zambia	ZMB	2015	3365.3792	16248231	5.2498026	61.2	4.795
Morocco	MAR	2011	6064.432	32903708	1.3402748	71.3	4.793151
Nepal	NPL	2015	3260.035	27610328	2.020983	67.5	4.793
Honduras	HND	2014	5079.7036	9127851	64.53877	72.3	4.788
Palestine	PSE	2016	6438.9336	4593855	0.41359663	74.6	4.775
Lebanon	LBN	2019	17172.197	5781912	3.1477506	79.2	4.7715
Palestine	PSE	2015	6048.9766	4484615	1.2041172	74.4	4.754
Turkey	TUR	2021	31466.56	84775408	2.5195987	76	4.7442
Palestine	PSE	2017	6401.7407	4700954	0.7232586	74.8	4.7433
Egypt	EGY	2016	10218.394	99784032	1.5353159	70.8	4.735
Nigeria	NGA	2019	5076.368	203304496	21.74079	52.9	4.7241
South Africa	ZAF	2017	13950.453	56641208	35.903187	65.4	4.724
South Africa	ZAF	2018	13990.314	57339632	36.66225	65.7	4.7222
Albania	ALB	2018	13319.495	2877019	2.294046	79.2	4.7186
Palestine	PSE	2014	5967.073	4380473	0.54788584	72.6	4.715
Bulgaria	BGR	2016	20744.523	7245982	1.0902605	74.8	4.714
Ghana	GHA	2011	4128.56	26205940	1.6141378	61.7	4.704951
Zambia	ZMB	2011	3146.8445	14265824	6.049427	57.8	4.704553
Palestine	PSE	2018	6318.21	4805549	0.4994229	74.8	4.6963
